,statename,year,month,case_rate,death_rate,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_workplaces,gps_residential,gps_away_from_home
57,Delaware,2020,3,6.250870967741935,0.1027741935483871,-0.017904096774193547,-0.06196741935483871,-0.013091935483870968,0.01572067741935485,-0.09041258064516128,-0.004511935483870962,-0.13725129032258063,0.060219677419354835,-0.07295451612903225
58,Delaware,2020,4,231.0366666666667,6.298333333333334,-0.20080000000000003,-0.38366666666666666,-0.16893333333333335,-0.08239333333333332,-0.40686666666666677,-0.21213333333333326,-0.4542,0.18213333333333334,-0.22190000000000004
59,Delaware,2020,5,759.8709677419355,27.76774193548387,-0.17964516129032257,-0.36870967741935484,-0.15735483870967737,-0.03819419354838709,-0.28525806451612906,-0.09586129032258064,-0.38619354838709674,0.14632258064516127,-0.17425806451612902
60,Delaware,2020,6,1070.1,42.82666666666667,-0.09920333333333332,-0.2479,-0.08288666666666669,0.013755136666666667,-0.07435000000000001,0.019859666666666668,-0.29133333333333333,0.09416999999999996,-0.10760333333333334
61,Delaware,2020,7,1358.9032258064517,47.751612903225805,-0.06331612903225804,-0.15693548387096773,-0.05541612903225804,0.012335161290322581,-0.02512161291180645,0.04740967741935485,-0.28383870967741937,0.0825290322580645,-0.09336129032258063
62,Delaware,2020,8,1667.9354838709678,53.98064516129033,-0.05664838709677418,-0.1389032258064516,-0.05581612903225807,0.020432903225806452,-0.029216129032258058,0.02128838709677419,-0.2874516129032257,0.07594193548387097,-0.08524516129032261
63,Delaware,2020,9,1958.4666666666667,56.49333333333334,-0.05506,-0.14646666666666666,-0.04614,0.016546666666666668,-0.041812999999999996,0.002145000017733334,-0.26736666666666675,0.06714333333333333,-0.07398000000000002
64,District Of Columbia,2020,2,0.0,0.0,0.02153333333333333,0.028083333333333335,0.011233333333333333,0.030616666666666667,0.007156666666666666,-0.035250000000000004,0.0059499999999999996,0.0021416666666666663,0.00013200000000000017
65,District Of Columbia,2020,3,13.357999999999999,0.18767741935483873,-0.020710322580645164,0.005886129032258068,-0.03937193548387096,-0.006524580645161292,-0.22923870967741936,-0.06810161290322582,-0.24271935483870966,0.09331032258064517,-0.1106023870967742
66,District Of Columbia,2020,4,335.1166666666667,12.520999999999997,-0.18346666666666664,-0.15403333333333336,-0.26736666666666664,-0.10605000000000003,-0.6390666666666667,-0.32083333333333336,-0.6327666666666667,0.2496000000000001,-0.3003333333333334
67,District Of Columbia,2020,5,983.2258064516129,51.63225806451614,-0.1729032258064516,-0.16787096774193547,-0.269741935483871,-0.07896451612903227,-0.5988709677419354,-0.26138709677419353,-0.5865483870967743,0.2236129032258065,-0.2652903225806451
68,District Of Columbia,2020,6,1378.2333333333333,72.91000000000001,-0.14330000000000004,-0.13846666666666668,-0.2328666666666667,-0.05659333333333336,-0.5248333333333332,-0.20426666666666662,-0.4969000000000001,0.17936666666666665,-0.20736666666666664
69,District Of Columbia,2020,7,1578.9032258064517,81.04193548387096,-0.13235483870967743,-0.1574516129032258,-0.20451612903225805,-0.058187096774193536,-0.48693548387096774,-0.19683870967741937,-0.4840645161290324,0.15767741935483864,-0.18190322580645166
70,District Of Columbia,2020,8,1864.258064516129,84.53870967741932,-0.12645161290322587,-0.16445161290322582,-0.19938709677419356,-0.04952580645161289,-0.481,-0.21000000000000002,-0.4940967741935485,0.15303225806451612,-0.175741935483871
71,District Of Columbia,2020,9,2084.3333333333335,87.45333333333336,-0.12886666666666668,-0.16203333333333333,-0.20659999999999992,-0.04794333333333334,-0.4706000000000001,-0.20163333333333336,-0.4866666666666667,0.14836666666666665,-0.16816666666666666
72,Florida,2020,2,0.0,0.0,0.018683333333333333,0.006813333333333334,0.021633333333333334,0.027066666666666666,0.03641666666666666,0.013798333333333334,0.011666666666666667,-0.0007133333333333332,0.0010939166666666666
73,Florida,2020,3,5.345336129032258,0.07342838709677418,-0.014668870967741936,-0.04171303225806452,-0.004957354838709679,-0.001955161290322581,-0.11209064516129033,0.023876451612903218,-0.13635161290322578,0.05609290322580645,-0.06919193548387097
74,Florida,2020,4,104.25666666666666,3.025866666666667,-0.18356666666666668,-0.3088333333333333,-0.15429,-0.09038,-0.45893333333333336,-0.2244000000000001,-0.4532333333333332,0.18159999999999996,-0.22446666666666668
75,Florida,2020,5,209.6451612903226,8.960645161290321,-0.13456129032258066,-0.2694516129032258,-0.1093451612903226,-0.01961190322580645,-0.3171935483870968,-0.128741935483871,-0.36277419354838725,0.1341612903225807,-0.16283870967741937
76,Florida,2020,6,409.4,13.9,-0.06848333333333333,-0.17573333333333332,-0.045416666666666654,0.01601333333333333,-0.21989999999999998,-0.09822333333333333,-0.2865666666666667,0.09934000000000003,-0.11883333333333336
77,Florida,2020,7,1463.8387096774193,22.396774193548385,-0.06123870967741937,-0.15732258064516125,-0.0368,0.006088709677419355,-0.23661290322580644,-0.12081290322580643,-0.3178064516129033,0.10293548387096779,-0.12325806451612904
78,Florida,2020,8,2623.8064516129034,43.20967741935483,-0.05525483870967742,-0.16009677419354842,-0.027538709677419355,0.015869032258064516,-0.24441935483870972,-0.1533548387096774,-0.3211612903225807,0.09280322580645162,-0.11216129032258068
79,Florida,2020,9,3120.766666666667,59.87000000000001,-0.04419,-0.1520333333333333,-0.01616966666666667,0.030146666666666665,-0.23946666666666658,-0.15659999999999996,-0.2981,0.0781766666666667,-0.09402999999999997
80,Georgia,2020,2,0.0,0.0,0.008895,-0.008238333333333334,0.013983333333333334,0.020183333333333334,0.028321666666666665,0.0006999999999999998,0.006438333333333333,-0.00047666666666666604,0.0031518333333333333
81,Georgia,2020,3,6.7218193548387095,0.21245225806451618,-0.02893248387096774,-0.06071612903225807,-0.0224558064516129,-0.0025394516129032237,-0.08725354838709679,0.048161290322580645,-0.13636935483870968,0.054939354838709674,-0.06544548387096774
82,Georgia,2020,4,142.34333333333333,5.667,-0.20033333333333334,-0.3291666666666666,-0.18006666666666668,-0.08269666666666667,-0.3669333333333333,-0.11711666666666669,-0.4469666666666667,0.17266666666666663,-0.21203333333333335
83,Georgia,2020,5,337.06451612903226,14.861290322580647,-0.14961290322580648,-0.27932258064516136,-0.13383870967741934,-0.023175451612903224,-0.1891935483870968,-0.020186451604322576,-0.3558064516129032,0.12335483870967746,-0.14522580645161295
84,Georgia,2020,6,544.6666666666666,22.986666666666665,-0.09120333333333333,-0.19399999999999998,-0.08332333333333336,0.017746666666666668,-0.11946666666666665,-0.008759000008866666,-0.29353333333333337,0.08941000000000002,-0.10310333333333334
85,Georgia,2020,7,1152.774193548387,29.283870967741937,-0.0796483870967742,-0.16932258064516126,-0.07157419354838711,0.013201290322580645,-0.11429354838709681,-0.021246129006516127,-0.31796774193548394,0.08927419354838709,-0.10395483870967745
86,Georgia,2020,8,2052.6129032258063,43.20322580645162,-0.06072258064516129,-0.15851612903225806,-0.04739032258064517,0.03225483870967743,-0.1321290322580645,-0.05304193548387097,-0.3058709677419355,0.08226774193548385,-0.09553548387096776
87,Georgia,2020,9,2646.0333333333333,59.11,-0.040966666666666665,-0.1479666666666666,-0.021380000000000007,0.05168,-0.1349,-0.06605333333333334,-0.2809,0.06808999999999998,-0.07795333333333333
88,Hawaii,2020,2,0.0,0.0,-0.037066666666666664,-0.08111666666666667,-0.02935,0.0,0.016183333333333334,0.004038333333333334,0.009285000000000002,0.00023833333333333334,0.0006196833333333333
89,Hawaii,2020,3,3.3602967741935488,0.0022774193548387093,-0.07297741935483872,-0.11192903225806451,-0.052080645161290316,0.0,-0.1591241935483871,-0.04558709677419354,-0.14307741935483873,0.07139290322580645,-0.08747451612903226
90,Hawaii,2020,4,35.28666666666666,0.6451866666666667,-0.3664333333333334,-0.4224666666666666,-0.37286666666666674,0.0,-0.5234666666666666,-0.2958666666666667,-0.48146666666666676,0.2108,-0.2604666666666666
91,Hawaii,2020,5,44.27096774193548,1.195483870967742,-0.32161290322580643,-0.34167741935483875,-0.35541935483870973,0.0,-0.4486774193548388,-0.21716129032258072,-0.4058387096774193,0.16954838709677417,-0.20635483870967744
92,Hawaii,2020,6,52.5,1.2093333333333334,-0.25823333333333337,-0.24463333333333334,-0.30663333333333337,0.0,-0.35993333333333327,-0.19469999999999998,-0.3229,0.1274666666666667,-0.15356666666666668
93,Hawaii,2020,7,94.1516129032258,1.5329032258064526,-0.2551612903225806,-0.2114193548387097,-0.30103225806451617,0.0,-0.3385483870967742,-0.19174193548387095,-0.3249032258064516,0.1175483870967742,-0.14441935483870966
94,Hawaii,2020,8,357.38709677419354,2.8641935483870964,-0.2723225806451613,-0.22725806451612912,-0.30893548387096786,0.0,-0.38083870967741945,-0.23783870967741938,-0.3460967741935484,0.13280645161290322,-0.16303225806451613
95,Hawaii,2020,9,771.3666666666667,7.405333333333335,-0.30943333333333334,-0.3196,-0.33710000000000007,0.0,-0.4535666666666666,-0.2664,-0.3870666666666666,0.1506666666666666,-0.18536666666666665
96,Idaho,2020,2,0.0,0.0,0.03956666666666667,0.014683333333333333,0.050783333333333326,0.05336666666666667,0.07,0.05523333333333333,0.03214999999999999,-0.010718333333333335,0.014016666666666669
97,Idaho,2020,3,4.257290322580645,0.061419354838709674,-0.0038654838709677414,-0.04264967741935484,0.01991193548387097,0.0016087096774193574,-0.04957000000000001,0.10805806451612901,-0.10553967741935484,0.03692258064516129,-0.04440387096774193
98,Idaho,2020,4,85.70333333333332,2.0478000000000005,-0.15879999999999997,-0.2844666666666667,-0.10481000000000004,-0.08243333333333336,-0.3244666666666667,-0.06977133333333337,-0.40303333333333324,0.13272000000000003,-0.15973333333333337
99,Idaho,2020,5,135.48387096774192,4.090000000000001,-0.12433870967741936,-0.2882258064516129,-0.06234838709677419,-0.003454870967741932,-0.10716774193548387,0.08767387096774194,-0.30232258064516127,0.0780677419354839,-0.087958064516129
100,Idaho,2020,6,217.96666666666667,4.901333333333335,-0.07482000000000003,-0.1849666666666667,-0.029513333333333332,-0.002719666666666667,0.035912666666666676,0.14276666666666668,-0.22863333333333336,0.03843666666666666,-0.040560000000000006
101,Idaho,2020,7,744.2903225806451,6.8596774193548375,-0.07064516129032258,-0.16048387096774192,-0.03713225806451612,-0.0030433548387096758,0.039254838709677414,0.17990322580645163,-0.25825806451612904,0.03451612903225806,-0.034003225806451626
102,Idaho,2020,8,1531.741935483871,15.506451612903225,-0.06275161290322581,-0.16974193548387093,-0.0199741935483871,0.010418967741935483,0.026222580645161298,0.14083870967741935,-0.2530967741935484,0.028935483870967744,-0.027238709677419357
103,Idaho,2020,9,2064.0333333333333,23.746666666666677,-0.05874666666666666,-0.16823333333333335,-0.0009680000000000026,-0.01937703333333334,0.016142000000000004,0.10310333333333334,-0.22279999999999997,0.02046333333333333,-0.01923
104,Illinois,2020,2,0.01711666666666667,0.0,0.014083333333333331,0.008466666666666666,0.011483333333333333,0.02198333333333333,0.042166666666666665,0.036649999999999995,0.024033333333333334,-0.0052383333333333336,0.010388333333333333
105,Illinois,2020,3,8.440374193548388,0.11454451612903227,-0.01987322580645161,-0.04860467741935484,-0.01973161290322581,-0.0010732258064516094,-0.13376774193548385,0.0715,-0.1589025806451613,0.06895451612903225,-0.08244838709677418
106,Illinois,2020,4,211.08666666666667,8.580000000000002,-0.1659333333333333,-0.30006666666666665,-0.16543333333333327,-0.07809666666666668,-0.44,-0.12609666666666666,-0.4747666666666666,0.1905,-0.2308
107,Illinois,2020,5,718.4516129032259,31.870967741935484,-0.14067741935483877,-0.28825806451612895,-0.14422580645161293,-0.03748870967741938,-0.33325806451612894,-0.05133548387096773,-0.41309677419354834,0.15458064516129028,-0.18319354838709676
108,Illinois,2020,6,1058.9666666666667,51.306666666666665,-0.09026333333333333,-0.22056666666666666,-0.08831999999999998,-0.007173666666666667,-0.1908,-0.008428333333333335,-0.31426666666666675,0.0992,-0.11144000000000001
109,Illinois,2020,7,1269.8064516129032,58.729032258064514,-0.06675806451612903,-0.21558064516129036,-0.03980645161290323,-0.01161225806451613,-0.11852903225806458,-0.003270322580645162,-0.3083870967741936,0.07939677419354839,-0.08803225806451614
110,Illinois,2020,8,1648.967741935484,63.01290322580644,-0.05394193548387099,-0.2476451612903226,-0.00658967741935484,-0.0018618709677419366,-0.11003870967741938,-0.012354193548387097,-0.3,0.07165483870967743,-0.07909999999999999
111,Illinois,2020,9,2122.1666666666665,67.95333333333333,-0.04688666666666667,-0.2560666666666667,0.0012089933333333332,0.014275333333333334,-0.12803333333333333,-0.018906333333333334,-0.2760666666666667,0.06928,-0.07533
112,Indiana,2020,2,0.0,0.0,0.010983333333333333,-0.0032366666666666668,0.02041666666666667,0.009728333333333332,0.05428333333333333,0.016416666666666666,0.017633333333333334,-0.0019066666666666668,0.005175
